type,x,loss,elapsed_s,avg_mfu,mem_gb
iter,700,1.1912260055541992,304.38272190093994,23.927762230210707,6.030284404754639
iter,710,1.1686899662017822,305.33421182632446,24.465277437509886,6.030284404754639
iter,720,1.16202712059021,306.27395606040955,25.304639614231778,6.030284404754639
iter,730,1.1666135787963867,307.23600912094116,26.33751071376623,6.030284404754639
iter,740,1.1612775325775146,308.15840244293213,27.260900596113142,6.030284404754639
train_step,750,1.0367568731307983,324.3993787765503,,
val_step,750,1.4725645780563354,324.3993787765503,,
iter,750,1.153651475906372,324.5049865245819,24.553998252781206,6.030284404754639
iter,760,1.145850658416748,325.4633104801178,24.7667558803987,6.030284404754639
iter,770,1.1396006345748901,326.3977918624878,25.17824933333514,6.030284404754639
iter,780,1.129604458808899,327.33015727996826,25.476555746016473,6.030284404754639
iter,790,1.1219851970672607,328.23561429977417,25.774442927998436,6.030284404754639
train_step,800,0.9916035532951355,344.27256441116333,,
val_step,800,1.4841607809066772,344.27256441116333,,
iter,800,1.104154109954834,344.3788368701935,23.21650069488167,6.030284404754639
iter,810,1.1178224086761475,345.3384602069855,23.901577394172495,6.030284404754639
iter,820,1.1061581373214722,346.24381399154663,25.140861354670935,6.030284404754639
iter,830,1.0984665155410767,347.1498546600342,26.197029298337878,6.030284404754639
iter,840,1.0901901721954346,348.04233837127686,27.072703185021158,6.030284404754639
train_step,850,0.9495770931243896,364.2967367172241,,
val_step,850,1.4837493896484375,364.2967367172241,,
iter,850,1.0787327289581299,364.4159324169159,24.38460418538805,6.030284404754639
iter,860,1.0864176750183105,365.34749579429626,25.43994805595401,6.030284404754639
iter,870,1.072785496711731,366.24906301498413,26.36996385181859,6.030284404754639
iter,880,1.0825337171554565,367.21641302108765,27.341855372797863,6.030284404754639
iter,890,1.064469814300537,368.12037920951843,27.473936838551094,6.030284404754639
train_step,900,0.9098438024520874,384.9034585952759,,
val_step,900,1.5083316564559937,384.9034585952759,,
iter,900,1.062412977218628,385.0258083343506,24.745117369895407,6.030284404754639
iter,910,1.0487805604934692,386.0081605911255,25.174288797277782,6.030284404754639
iter,920,1.0378124713897705,386.9254515171051,25.973571263207024,6.030284404754639
iter,930,1.0471742153167725,387.8845171928406,26.911219507399576,6.030284404754639
iter,940,1.0244898796081543,388.79712414741516,27.699454232488275,6.030284404754639
train_step,950,0.8672826886177063,404.7508852481842,,
val_step,950,1.529876708984375,404.7508852481842,,
iter,950,1.0280277729034424,404.8530967235565,24.949093213638815,6.030284404754639
iter,960,1.0210442543029785,405.8239550590515,25.429712829754834,6.030284404754639
iter,970,1.012725591659546,406.7480888366699,26.293015836285665,6.030284404754639
iter,980,1.0136122703552246,407.6631405353546,26.491181348226238,6.030284404754639
iter,990,1.0069726705551147,408.59348320961,27.40070256290441,6.030284404754639
train_step,1000,0.8231133818626404,424.61886501312256,,
val_step,1000,1.5494966506958008,424.61886501312256,,
iter,1000,0.9882718324661255,424.7242453098297,24.680080843739237,6.030284404754639
