type,x,loss,elapsed_s,avg_mfu,mem_gb
train_step,0,4.286923408508301,3.3047420978546143,,
val_step,0,4.281734466552734,3.3047420978546143,,
iter,0,4.266841888427734,3.5016937255859375,,1.5521583557128906
iter,10,2.9227123260498047,3.68851375579834,21.451858109302176,1.6433839797973633
iter,20,2.580275774002075,3.8588013648986816,21.67193793454085,1.6431703567504883
iter,30,2.535726547241211,4.028985023498535,21.716098171325203,1.6431703567504883
iter,40,2.5066113471984863,4.199069023132324,21.7110555449704,1.6431703567504883
train_step,50,2.4540164470672607,7.085402250289917,,
val_step,50,2.4645607471466064,7.085402250289917,,
iter,50,2.468353748321533,7.3498313426971436,19.55225639062186,1.6431703567504883
iter,60,2.462484359741211,7.519890308380127,19.872188078853643,1.6431703567504883
iter,70,2.466062068939209,7.690088987350464,20.086108044011095,1.6431703567504883
iter,80,2.416212558746338,7.8603835105896,20.29938287446209,1.6431703567504883
iter,90,2.3916332721710205,8.030194282531738,20.488333471125316,1.6431703567504883
train_step,100,2.3329546451568604,10.901932001113892,,
val_step,100,2.372372627258301,10.901932001113892,,
iter,100,2.374143123626709,11.182397365570068,18.45179901401299,1.6431703567504883
iter,110,2.3649423122406006,11.352794647216797,18.8097126331588,1.6431703567504883
iter,120,2.284025192260742,11.52293586730957,19.624645625981675,1.6431703567504883
iter,130,2.249011754989624,11.69326376914978,19.856120412894743,1.6431703567504883
iter,140,2.1598517894744873,11.863524675369263,20.088609980170745,1.6431703567504883
train_step,150,2.014086961746216,14.73738431930542,,
val_step,150,2.1045145988464355,14.73738431930542,,
iter,150,2.090153694152832,14.986766815185547,18.092166099161254,1.6431703567504883
iter,160,2.0557565689086914,15.15729308128357,18.481147177554835,1.6431703567504883
iter,170,1.9854944944381714,15.327437162399292,18.86049141285475,1.6431703567504883
iter,180,1.9399725198745728,15.497817993164062,19.183327261197313,1.6431703567504883
iter,190,1.8654841184616089,15.668330907821655,19.480266571492827,1.6431703567504883
train_step,200,1.7462612390518188,18.548439502716064,,
val_step,200,1.9066745042800903,18.548439502716064,,
iter,200,1.8374748229980469,18.835236072540283,17.544484158399555,1.6431703567504883
iter,210,1.8073294162750244,19.005593299865723,18.02280892809536,1.6431703567504883
iter,220,1.7764534950256348,19.17598056793213,18.435360564742805,1.6431703567504883
iter,230,1.7368084192276,19.345892667770386,18.810870914554563,1.6431703567504883
iter,240,1.6990705728530884,19.515827894210815,19.136547973744122,1.6431703567504883
train_step,250,1.5913877487182617,22.38580346107483,,
val_step,250,1.7731000185012817,22.38580346107483,,
iter,250,1.6941447257995605,22.634042024612427,17.23533464029923,1.6431703567504883
iter,260,1.636940360069275,22.803956985473633,17.72685343740386,1.6431703567504883
iter,270,1.6935497522354126,22.97394108772278,18.157199505376145,1.6431703567504883
iter,280,1.612361192703247,23.144083261489868,18.56491404868039,1.6431703567504883
iter,290,1.6186527013778687,23.31382131576538,18.922972725161458,1.6431703567504883
train_step,300,1.47975754737854,26.183109045028687,,
val_step,300,1.6737737655639648,26.183109045028687,,
iter,300,1.5907814502716064,26.432422876358032,17.043113171001494,1.6431703567504883
iter,310,1.5515718460083008,26.602869033813477,17.52813124778443,1.6431703567504883
iter,320,1.5303962230682373,26.773314714431763,18.007644830443738,1.6431703567504883
iter,330,1.5120506286621094,26.9436297416687,18.419048180961035,1.6431703567504883
iter,340,1.5039288997650146,27.1139714717865,18.796914659324596,1.6431703567504883
train_step,350,1.396611213684082,29.988407850265503,,
val_step,350,1.620520830154419,29.988407850265503,,
iter,350,1.4912652969360352,30.237253665924072,16.929643989281757,1.6431703567504883
iter,360,1.4879227876663208,30.40736413002014,17.437198533825253,1.6431703567504883
iter,370,1.4472101926803589,30.577556848526,17.926347563093376,1.6431703567504883
iter,380,1.4596654176712036,30.74763059616089,18.36288736485812,1.6431703567504883
iter,390,1.4250268936157227,30.917831659317017,18.723313281711622,1.6431703567504883
train_step,400,1.3307702541351318,33.789488554000854,,
val_step,400,1.5632295608520508,33.789488554000854,,
iter,400,1.4465337991714478,34.039185523986816,16.863408676933435,1.6431703567504883
iter,410,1.4315612316131592,34.20939779281616,17.379105955645617,1.6431703567504883
iter,420,1.4195398092269897,34.37951159477234,17.84332658705975,1.6431703567504883
iter,430,1.3863976001739502,34.55017566680908,18.274799886347534,1.6431703567504883
iter,440,1.3980311155319214,34.720582246780396,18.672178716468483,1.6431703567504883
train_step,450,1.2782920598983765,37.5945827960968,,
val_step,450,1.5295637845993042,37.5945827960968,,
iter,450,1.346195101737976,37.84457445144653,16.8173782656886,1.6431703567504883
iter,460,1.3764164447784424,38.014564037323,17.37420207083024,1.6431703567504883
iter,470,1.3500059843063354,38.1845543384552,17.85120643572619,1.6431703567504883
iter,480,1.3373937606811523,38.35456609725952,18.285006178909192,1.6431703567504883
iter,490,1.3393144607543945,38.524399518966675,18.65355989976563,1.6431703567504883
train_step,500,1.2245055437088013,41.39357566833496,,
val_step,500,1.5006818771362305,41.39357566833496,,
iter,500,1.3109910488128662,41.63963174819946,16.80065863251657,1.6431703567504883
iter,510,1.3282036781311035,41.80985713005066,17.343331589999504,1.6431703567504883
