type,x,loss,elapsed_s,avg_mfu,mem_gb
train_step,0,4.286888122558594,6.509227752685547,,
val_step,0,4.28176212310791,6.509227752685547,,
iter,0,4.265524387359619,6.78704080581665,,1.1234562072753906
iter,10,3.039703130722046,7.172159099578858,20.206860339248413,1.1868251419067383
iter,20,2.612227201461792,7.553483390808106,20.190008983865125,1.1868251419067383
iter,30,2.5428686141967773,7.938305568695069,20.174485295107535,1.1868251419067383
iter,40,2.4913101196289062,8.319827842712402,20.14807031766941,1.1868251419067383
train_step,50,2.45173978805542,14.693082904815675,,
val_step,50,2.468482255935669,14.693082904815675,,
iter,50,2.483140468597412,15.02144136428833,19.18720054566311,1.1868251419067383
iter,60,2.4510982036590576,15.40312957763672,19.393024638966348,1.1868251419067383
iter,70,2.4470248222351074,15.787168979644776,19.572687416631104,1.1868251419067383
iter,80,2.4103128910064697,16.170143508911133,19.74896590625932,1.1868251419067383
iter,90,2.4035644747243652,16.551964473724366,19.910704027271563,1.1868251419067383
train_step,100,2.355652332305908,22.901309967041016,,
val_step,100,2.3849053382873535,22.901309967041016,,
iter,100,2.3859996795654297,23.233738803863525,17.913617786450125,1.1868251419067383
iter,110,2.335467576980591,23.6160870552063,18.27672508646031,1.1868251419067383
iter,120,2.2984418869018555,23.997243404388428,18.605669522168984,1.1868251419067383
iter,130,2.2250583171844482,24.379712104797364,18.8860998055222,1.1868251419067383
iter,140,2.159714698791504,24.76201400756836,19.140329412152195,1.1868251419067383
train_step,150,2.032564640045166,31.11415414810181,,
val_step,150,2.123357057571411,31.11415414810181,,
iter,150,2.1169838905334473,31.430887985229492,17.04030360836762,1.1868251419067383
iter,160,2.03316068649292,31.8119387626648,17.49091968732192,1.1868251419067383
iter,170,1.9821856021881104,32.19435167312622,17.885176656907923,1.1868251419067383
iter,180,1.948664903640747,32.57711191177368,18.247816331226787,1.1868251419067383
iter,190,1.9163410663604736,32.95901927947998,18.574156668801624,1.1868251419067383
train_step,200,1.7600293159484863,39.31172676086426,,
val_step,200,1.913783311843872,39.31172676086426,,
iter,200,1.8545135259628296,39.629598426818844,16.53074764601271,1.1868251419067383
iter,210,1.8088494539260864,40.01099853515625,17.035463041415845,1.1868251419067383
iter,220,1.7728724479675293,40.39347953796386,17.493572535895133,1.1868251419067383
iter,230,1.7505518198013306,40.77607326507568,17.89585021220529,1.1868251419067383
iter,240,1.7155590057373047,41.15890789031982,18.248981864513638,1.1868251419067383
train_step,250,1.5919874906539917,47.507337856293724,,
val_step,250,1.7694909572601318,47.507337856293724,,
iter,250,1.6983519792556763,47.824010181427,16.238099563284855,1.1868251419067383
iter,260,1.6428947448730469,48.205206298828125,16.768599083432534,1.1868251419067383
iter,270,1.642343282699585,48.587372589111324,17.25296681432681,1.1868251419067383
iter,280,1.616579294204712,48.971084404003,17.667878675911325,1.1868251419067383
iter,290,1.6027309894561768,49.354208278656006,18.050445669177954,1.1868251419067383
train_step,300,1.4821290969848633,55.71135835647583,,
val_step,300,1.6779656410217285,55.71135835647583,,
iter,300,1.5757697820663452,56.03073778152366,16.059394886606785,1.1868251419067383
iter,310,1.561332106590271,56.41166725158691,16.61511119656698,1.1868251419067383
iter,320,1.5516109466552734,56.79518222808838,17.09698415105686,1.1868251419067383
iter,330,1.5084023475646973,57.17957067489624,17.525918487073536,1.1868251419067383
iter,340,1.4942013025283813,57.5638169296875,17.906321480078233,1.1868251419067383
train_step,350,1.394507884979248,63.915655517578125,,
val_step,350,1.6104035377502441,63.915655517578125,,
iter,350,1.5088441371917725,64.23310804367065,15.92970151912631,1.1868251419067383
iter,360,1.4537276029586792,64.61496849060059,16.482102328626276,1.1868251419067383
iter,370,1.4578405618667603,64.99820880889893,16.977047805857755,1.1868251419067383
iter,380,1.454796314239502,65.38565890939331,17.394128081718144,1.1868251419067383
iter,390,1.4307767152786255,65.76565961837769,17.797537300845562,1.1868251419067383
train_step,400,1.3344612121582031,72.13329162597656,,
val_step,400,1.5776513814926147,72.13329162597656,,
