Overriding config with config/train_shakespeare_char.py:
Overriding: batch_size = 1024
Overriding: learning_rate = 0.016
Overriding: csv_path = runs/scale_1u_s16.0_bs1024_lr0.016.csv
Overriding: out_dir = out/scale_1u_s16.0_bs1024_lr0.016
tokens per iteration will be: 262,144
effective global batch size (sequences) will be: 1,024
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
/u/ddong/workspace/nanoGPT/train.py:243: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 870: loss 1.2215, time 124.24ms, mfu 45.22%
iter 880: loss 1.2087, time 123.35ms, mfu 45.53%
iter 890: loss 1.2357, time 122.29ms, mfu 45.86%
iter 900: loss 1.2046, time 289.01ms, mfu 43.33%
iter 910: loss 1.1803, time 122.86ms, mfu 43.85%
iter 920: loss 1.1759, time 121.21ms, mfu 44.39%
iter 930: loss 1.1777, time 123.04ms, mfu 44.79%
iter 940: loss 1.1589, time 123.30ms, mfu 45.15%
iter 950: loss 1.1814, time 122.71ms, mfu 45.49%
iter 960: loss 1.1542, time 123.23ms, mfu 45.78%
iter 970: loss 1.1409, time 122.08ms, mfu 46.09%
iter 980: loss 1.1277, time 121.60ms, mfu 46.38%
iter 990: loss 1.1391, time 123.07ms, mfu 46.59%
step 1000: train loss 0.9970, val loss 1.5174
saving checkpoint to out/scale_1u_s16.0_bs1024_lr0.016
iter 1000: loss 1.1214, time 29827.62ms, mfu 41.95%
iter 1010: loss 1.1216, time 121.99ms, mfu 42.64%
iter 1020: loss 1.1185, time 123.12ms, mfu 43.22%
iter 1030: loss 1.0994, time 121.81ms, mfu 43.79%
iter 1040: loss 1.0838, time 123.39ms, mfu 44.24%
iter 1050: loss 1.0966, time 121.53ms, mfu 44.73%
iter 1060: loss 1.0837, time 121.70ms, mfu 45.15%
iter 1070: loss 1.0600, time 120.98ms, mfu 45.57%
iter 1080: loss 1.0645, time 121.59ms, mfu 45.91%
iter 1090: loss 1.0583, time 122.76ms, mfu 46.18%
iter 1100: loss 1.0394, time 294.01ms, mfu 43.59%
iter 1110: loss 1.0537, time 121.38ms, mfu 44.14%
iter 1120: loss 1.0361, time 120.91ms, mfu 44.66%
iter 1130: loss 1.0522, time 120.92ms, mfu 45.12%
iter 1140: loss 1.0322, time 124.29ms, mfu 45.41%
iter 1150: loss 1.0179, time 120.08ms, mfu 45.83%
iter 1160: loss 1.0146, time 121.14ms, mfu 46.17%
iter 1170: loss 1.0246, time 122.64ms, mfu 46.41%
iter 1180: loss 1.0063, time 122.81ms, mfu 46.63%
iter 1190: loss 1.0007, time 121.68ms, mfu 46.86%
iter 1200: loss 0.9840, time 292.76ms, mfu 44.21%
iter 1210: loss 0.9806, time 121.13ms, mfu 44.71%
iter 1220: loss 0.9761, time 121.61ms, mfu 45.15%
iter 1230: loss 0.9751, time 212.95ms, mfu 43.43%
iter 1240: loss 0.9633, time 122.84ms, mfu 43.94%
step 1250: train loss 0.7719, val loss 1.6429
iter 1250: loss 0.9604, time 29685.76ms, mfu 39.57%
iter 1260: loss 0.9422, time 121.80ms, mfu 40.51%
iter 1270: loss 0.9452, time 122.06ms, mfu 41.34%
iter 1280: loss 0.9713, time 122.58ms, mfu 42.07%
iter 1290: loss 0.9416, time 120.09ms, mfu 42.83%
iter 1300: loss 0.9275, time 288.24ms, mfu 40.61%
iter 1310: loss 0.9414, time 121.90ms, mfu 41.44%
iter 1320: loss 0.9266, time 123.80ms, mfu 42.11%
iter 1330: loss 0.9040, time 121.40ms, mfu 42.81%
iter 1340: loss 0.9180, time 122.56ms, mfu 43.40%
iter 1350: loss 0.9131, time 122.06ms, mfu 43.94%
iter 1360: loss 0.8976, time 123.08ms, mfu 44.39%
iter 1370: loss 0.8813, time 96.53ms, mfu 46.13%
iter 1380: loss 0.8856, time 122.02ms, mfu 46.40%
iter 1390: loss 0.8773, time 121.50ms, mfu 46.67%
iter 1400: loss 0.8724, time 294.31ms, mfu 44.03%
iter 1410: loss 0.8715, time 88.44ms, mfu 46.37%
iter 1420: loss 0.8574, time 122.35ms, mfu 46.60%
iter 1430: loss 0.8727, time 122.78ms, mfu 46.80%
iter 1440: loss 0.8540, time 122.42ms, mfu 46.99%
iter 1450: loss 0.8304, time 123.69ms, mfu 47.11%
iter 1460: loss 0.8399, time 121.95ms, mfu 47.29%
iter 1470: loss 0.8386, time 124.65ms, mfu 47.34%
iter 1480: loss 0.8387, time 122.89ms, mfu 47.46%
iter 1490: loss 0.8479, time 122.42ms, mfu 47.58%
step 1500: train loss 0.5811, val loss 1.8008
iter 1500: loss 0.8138, time 29006.62ms, mfu 42.85%
iter 1510: loss 0.8206, time 122.71ms, mfu 43.42%
iter 1520: loss 0.7975, time 122.30ms, mfu 43.95%
iter 1530: loss 0.8139, time 121.35ms, mfu 44.47%
iter 1540: loss 0.8291, time 121.41ms, mfu 44.93%
iter 1550: loss 0.8100, time 121.79ms, mfu 45.34%
iter 1560: loss 0.7941, time 123.36ms, mfu 45.64%
iter 1570: loss 0.7798, time 123.10ms, mfu 45.91%
iter 1580: loss 0.7739, time 123.22ms, mfu 46.16%
iter 1590: loss 0.7777, time 122.48ms, mfu 46.41%
iter 1600: loss 0.7886, time 298.38ms, mfu 43.77%
iter 1610: loss 0.7672, time 121.74ms, mfu 44.29%
iter 1620: loss 0.7567, time 122.28ms, mfu 44.74%
iter 1630: loss 0.7615, time 122.08ms, mfu 45.15%
iter 1640: loss 0.7577, time 122.43ms, mfu 45.50%
iter 1650: loss 0.7451, time 122.15ms, mfu 45.83%
iter 1660: loss 0.7604, time 124.21ms, mfu 46.05%
iter 1670: loss 0.7412, time 123.31ms, mfu 46.28%
iter 1680: loss 0.7502, time 123.38ms, mfu 46.48%
iter 1690: loss 0.7406, time 123.12ms, mfu 46.68%
iter 1700: loss 0.7295, time 293.02ms, mfu 44.04%
iter 1710: loss 0.7260, time 123.98ms, mfu 44.45%
iter 1720: loss 0.7499, time 122.65ms, mfu 44.86%
iter 1730: loss 0.7181, time 123.20ms, mfu 45.22%
iter 1740: loss 0.7079, time 54.14ms, mfu 51.71%
step 1750: train loss 0.4351, val loss 1.9476
iter 1750: loss 0.7144, time 29707.75ms, mfu 46.56%
iter 1760: loss 0.7154, time 122.08ms, mfu 46.79%
iter 1770: loss 0.7035, time 122.90ms, mfu 46.96%
iter 1780: loss 0.6956, time 122.93ms, mfu 47.11%
iter 1790: loss 0.6888, time 121.55ms, mfu 47.31%
iter 1800: loss 0.7014, time 293.51ms, mfu 44.61%
iter 1810: loss 0.6944, time 122.48ms, mfu 45.01%
iter 1820: loss 0.6824, time 123.00ms, mfu 45.36%
iter 1830: loss 0.6868, time 121.96ms, mfu 45.71%
iter 1840: loss 0.6793, time 164.21ms, mfu 44.77%
iter 1850: loss 0.6752, time 123.02ms, mfu 45.14%
iter 1860: loss 0.6674, time 121.89ms, mfu 45.52%
iter 1870: loss 0.6606, time 122.75ms, mfu 45.82%
iter 1880: loss 0.6542, time 109.27ms, mfu 46.70%
iter 1890: loss 0.6611, time 121.32ms, mfu 46.94%
iter 1900: loss 0.6602, time 285.41ms, mfu 44.34%
iter 1910: loss 0.6612, time 123.51ms, mfu 44.73%
iter 1920: loss 0.6611, time 123.95ms, mfu 45.07%
iter 1930: loss 0.6449, time 123.13ms, mfu 45.40%
iter 1940: loss 0.6427, time 121.74ms, mfu 45.76%
iter 1950: loss 0.6324, time 124.40ms, mfu 45.98%
iter 1960: loss 0.6362, time 121.69ms, mfu 46.28%
iter 1970: loss 0.6471, time 123.81ms, mfu 46.47%
iter 1980: loss 0.6403, time 120.96ms, mfu 46.75%
iter 1990: loss 0.6326, time 123.16ms, mfu 46.91%
step 2000: train loss 0.3321, val loss 2.0630
iter 2000: loss 0.6260, time 30113.13ms, mfu 42.24%
iter 2010: loss 0.6200, time 121.61ms, mfu 42.92%
iter 2020: loss 0.6127, time 124.01ms, mfu 43.44%
iter 2030: loss 0.6131, time 121.47ms, mfu 44.00%
iter 2040: loss 0.6208, time 122.25ms, mfu 44.48%
iter 2050: loss 0.6140, time 124.30ms, mfu 44.83%
iter 2060: loss 0.6015, time 121.42ms, mfu 45.25%
iter 2070: loss 0.6097, time 122.76ms, mfu 45.59%
iter 2080: loss 0.5979, time 122.35ms, mfu 45.90%
iter 2090: loss 0.5961, time 123.56ms, mfu 46.13%
iter 2100: loss 0.5981, time 296.72ms, mfu 43.53%
iter 2110: loss 0.5894, time 122.47ms, mfu 44.05%
iter 2120: loss 0.5945, time 123.08ms, mfu 44.48%
iter 2130: loss 0.5861, time 123.04ms, mfu 44.88%
iter 2140: loss 0.5899, time 123.12ms, mfu 45.24%
iter 2150: loss 0.5793, time 122.56ms, mfu 45.58%
iter 2160: loss 0.5997, time 122.82ms, mfu 45.87%
iter 2170: loss 0.5796, time 122.01ms, mfu 46.17%
iter 2180: loss 0.5703, time 120.72ms, mfu 46.49%
iter 2190: loss 0.5696, time 123.81ms, mfu 46.66%
iter 2200: loss 0.5676, time 291.46ms, mfu 44.04%
iter 2210: loss 0.5572, time 222.00ms, mfu 42.32%
iter 2220: loss 0.5592, time 121.78ms, mfu 42.98%
iter 2230: loss 0.5751, time 123.81ms, mfu 43.50%
iter 2240: loss 0.5545, time 120.79ms, mfu 44.09%
step 2250: train loss 0.2483, val loss 2.2210
iter 2250: loss 0.5512, time 29158.21ms, mfu 39.70%
iter 2260: loss 0.5522, time 121.24ms, mfu 40.65%
iter 2270: loss 0.5501, time 122.28ms, mfu 41.46%
iter 2280: loss 0.5413, time 121.04ms, mfu 42.24%
iter 2290: loss 0.5400, time 121.64ms, mfu 42.92%
iter 2300: loss 0.5521, time 296.19ms, mfu 40.64%
iter 2310: loss 0.5479, time 175.17ms, mfu 39.98%
iter 2320: loss 0.5333, time 123.46ms, mfu 40.81%
iter 2330: loss 0.5358, time 121.63ms, mfu 41.63%
iter 2340: loss 0.5325, time 122.11ms, mfu 42.35%
iter 2350: loss 0.5249, time 88.48ms, mfu 44.85%
iter 2360: loss 0.5301, time 122.96ms, mfu 45.22%
iter 2370: loss 0.5347, time 121.96ms, mfu 45.58%
iter 2380: loss 0.5259, time 121.40ms, mfu 45.94%
iter 2390: loss 0.5264, time 121.82ms, mfu 46.24%
iter 2400: loss 0.5184, time 292.35ms, mfu 43.65%
iter 2410: loss 0.5145, time 124.19ms, mfu 44.09%
iter 2420: loss 0.5115, time 122.59ms, mfu 44.54%
iter 2430: loss 0.5125, time 123.08ms, mfu 44.93%
iter 2440: loss 0.5072, time 122.72ms, mfu 45.30%
iter 2450: loss 0.5034, time 122.22ms, mfu 45.64%
iter 2460: loss 0.5009, time 122.64ms, mfu 45.94%
iter 2470: loss 0.4940, time 123.00ms, mfu 46.19%
iter 2480: loss 0.5017, time 122.95ms, mfu 46.42%
iter 2490: loss 0.4975, time 123.57ms, mfu 46.61%
step 2500: train loss 0.1998, val loss 2.3398
iter 2500: loss 0.5017, time 29442.20ms, mfu 41.97%
iter 2510: loss 0.4903, time 123.20ms, mfu 42.61%
iter 2520: loss 0.4838, time 120.68ms, mfu 43.29%
iter 2530: loss 0.4860, time 120.93ms, mfu 43.89%
iter 2540: loss 0.4887, time 122.56ms, mfu 44.37%
iter 2550: loss 0.4915, time 122.75ms, mfu 44.79%
iter 2560: loss 0.4876, time 122.79ms, mfu 45.16%
iter 2570: loss 0.4827, time 121.66ms, mfu 45.55%
iter 2580: loss 0.4775, time 121.90ms, mfu 45.88%
iter 2590: loss 0.4816, time 122.29ms, mfu 46.17%
iter 2600: loss 0.4704, time 286.94ms, mfu 43.63%
iter 2610: loss 0.4732, time 120.85ms, mfu 44.20%
iter 2620: loss 0.4701, time 121.57ms, mfu 44.69%
iter 2630: loss 0.4710, time 120.71ms, mfu 45.16%
iter 2640: loss 0.4753, time 123.23ms, mfu 45.48%
iter 2650: loss 0.4664, time 120.91ms, mfu 45.86%
iter 2660: loss 0.4600, time 120.56ms, mfu 46.22%
iter 2670: loss 0.4694, time 122.96ms, mfu 46.45%
iter 2680: loss 0.4621, time 165.67ms, mfu 45.40%
iter 2690: loss 0.4599, time 121.98ms, mfu 45.75%
iter 2700: loss 0.4526, time 286.41ms, mfu 43.26%
iter 2710: loss 0.4565, time 121.52ms, mfu 43.84%
iter 2720: loss 0.4467, time 56.94ms, mfu 49.92%
iter 2730: loss 0.4520, time 124.47ms, mfu 49.72%
iter 2740: loss 0.4479, time 121.33ms, mfu 49.66%
step 2750: train loss 0.1611, val loss 2.4797
iter 2750: loss 0.4427, time 29301.59ms, mfu 44.72%
iter 2760: loss 0.4440, time 122.54ms, mfu 45.11%
iter 2770: loss 0.4416, time 121.60ms, mfu 45.50%
iter 2780: loss 0.4379, time 122.28ms, mfu 45.83%
iter 2790: loss 0.4372, time 121.09ms, mfu 46.17%
iter 2800: loss 0.4436, time 290.49ms, mfu 43.60%
iter 2810: loss 0.4322, time 122.98ms, mfu 44.09%
iter 2820: loss 0.4354, time 78.56ms, mfu 47.27%
iter 2830: loss 0.4282, time 125.04ms, mfu 47.31%
iter 2840: loss 0.4314, time 121.11ms, mfu 47.50%
iter 2850: loss 0.4297, time 122.45ms, mfu 47.62%
iter 2860: loss 0.4257, time 122.34ms, mfu 47.73%
iter 2870: loss 0.4297, time 121.59ms, mfu 47.86%
iter 2880: loss 0.4302, time 121.76ms, mfu 47.97%
iter 2890: loss 0.4253, time 121.87ms, mfu 48.07%
iter 2900: loss 0.4189, time 289.30ms, mfu 45.32%
iter 2910: loss 0.4175, time 122.11ms, mfu 45.67%
iter 2920: loss 0.4155, time 122.08ms, mfu 45.99%
iter 2930: loss 0.4193, time 121.88ms, mfu 46.28%
iter 2940: loss 0.4157, time 121.64ms, mfu 46.56%
iter 2950: loss 0.4074, time 123.07ms, mfu 46.74%
iter 2960: loss 0.4102, time 122.54ms, mfu 46.94%
iter 2970: loss 0.4124, time 121.68ms, mfu 47.14%
iter 2980: loss 0.4114, time 123.15ms, mfu 47.27%
iter 2990: loss 0.4002, time 122.96ms, mfu 47.39%
step 3000: train loss 0.1358, val loss 2.5789
iter 3000: loss 0.4041, time 29157.34ms, mfu 42.67%
iter 3010: loss 0.3998, time 122.21ms, mfu 43.28%
iter 3020: loss 0.3988, time 121.72ms, mfu 43.85%
iter 3030: loss 0.4008, time 123.27ms, mfu 44.30%
iter 3040: loss 0.3991, time 122.30ms, mfu 44.75%
