Overriding config with config/train_shakespeare_char.py:
tokens per iteration will be: 16,384
effective global batch size (sequences) will be: 64
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
iter 960: loss 1.3619, time 15.78ms, mfu 24.67%
iter 970: loss 1.3582, time 15.44ms, mfu 24.62%
iter 980: loss 1.3461, time 15.25ms, mfu 24.60%
iter 990: loss 1.3352, time 15.56ms, mfu 24.53%
step 1000: train loss 1.2701, val loss 1.5203
saving checkpoint to out-shakespeare-char
iter 1000: loss 1.3351, time 3018.06ms, mfu 22.09%
iter 1010: loss 1.3384, time 15.71ms, mfu 22.26%
iter 1020: loss 1.3077, time 15.56ms, mfu 22.42%
iter 1030: loss 1.3355, time 15.74ms, mfu 22.55%
iter 1040: loss 1.3564, time 15.49ms, mfu 22.70%
iter 1050: loss 1.2869, time 15.50ms, mfu 22.83%
iter 1060: loss 1.3379, time 15.57ms, mfu 22.94%
iter 1070: loss 1.3342, time 15.59ms, mfu 23.04%
iter 1080: loss 1.3318, time 15.29ms, mfu 23.17%
iter 1090: loss 1.3464, time 15.56ms, mfu 23.25%
iter 1100: loss 1.3153, time 15.36ms, mfu 23.35%
iter 1110: loss 1.2979, time 15.34ms, mfu 23.45%
iter 1120: loss 1.3029, time 15.41ms, mfu 23.52%
iter 1130: loss 1.2924, time 15.47ms, mfu 23.58%
iter 1140: loss 1.2999, time 15.61ms, mfu 23.61%
iter 1150: loss 1.3020, time 15.68ms, mfu 23.62%
iter 1160: loss 1.3272, time 15.51ms, mfu 23.66%
iter 1170: loss 1.2986, time 15.48ms, mfu 23.70%
iter 1180: loss 1.3087, time 15.64ms, mfu 23.71%
iter 1190: loss 1.2608, time 15.65ms, mfu 23.72%
iter 1200: loss 1.2894, time 15.32ms, mfu 23.78%
iter 1210: loss 1.2652, time 15.56ms, mfu 23.80%
iter 1220: loss 1.3068, time 15.48ms, mfu 23.83%
iter 1230: loss 1.2998, time 15.56ms, mfu 23.84%
iter 1240: loss 1.2930, time 15.53ms, mfu 23.86%
step 1250: train loss 1.2017, val loss 1.4890
saving checkpoint to out-shakespeare-char
iter 1250: loss 1.2713, time 3175.61ms, mfu 21.48%
iter 1260: loss 1.2832, time 15.25ms, mfu 21.78%
iter 1270: loss 1.2678, time 15.45ms, mfu 22.01%
iter 1280: loss 1.2520, time 15.44ms, mfu 22.22%
iter 1290: loss 1.2852, time 15.32ms, mfu 22.43%
iter 1300: loss 1.2956, time 15.35ms, mfu 22.62%
iter 1310: loss 1.2377, time 15.54ms, mfu 22.75%
iter 1320: loss 1.3061, time 15.30ms, mfu 22.91%
iter 1330: loss 1.2633, time 15.54ms, mfu 23.02%
iter 1340: loss 1.3004, time 15.30ms, mfu 23.15%
iter 1350: loss 1.2593, time 15.31ms, mfu 23.27%
iter 1360: loss 1.2744, time 15.26ms, mfu 23.39%
iter 1370: loss 1.2542, time 15.03ms, mfu 23.53%
iter 1380: loss 1.2582, time 15.23ms, mfu 23.62%
iter 1390: loss 1.2509, time 15.30ms, mfu 23.69%
iter 1400: loss 1.2585, time 15.18ms, mfu 23.78%
iter 1410: loss 1.2562, time 15.44ms, mfu 23.81%
iter 1420: loss 1.2705, time 15.21ms, mfu 23.88%
iter 1430: loss 1.2427, time 15.28ms, mfu 23.93%
iter 1440: loss 1.2563, time 15.05ms, mfu 24.02%
iter 1450: loss 1.2297, time 15.35ms, mfu 24.04%
iter 1460: loss 1.2486, time 15.46ms, mfu 24.05%
iter 1470: loss 1.2212, time 15.25ms, mfu 24.09%
iter 1480: loss 1.2117, time 15.27ms, mfu 24.12%
iter 1490: loss 1.2360, time 15.28ms, mfu 24.14%
step 1500: train loss 1.1531, val loss 1.4814
saving checkpoint to out-shakespeare-char
iter 1500: loss 1.1864, time 3265.06ms, mfu 21.74%
iter 1510: loss 1.2345, time 15.51ms, mfu 21.97%
iter 1520: loss 1.2195, time 15.17ms, mfu 22.23%
iter 1530: loss 1.2561, time 15.16ms, mfu 22.46%
iter 1540: loss 1.1985, time 15.16ms, mfu 22.68%
iter 1550: loss 1.2332, time 15.42ms, mfu 22.83%
iter 1560: loss 1.2111, time 15.33ms, mfu 22.97%
iter 1570: loss 1.2372, time 15.30ms, mfu 23.11%
iter 1580: loss 1.2026, time 15.21ms, mfu 23.25%
iter 1590: loss 1.1916, time 15.41ms, mfu 23.34%
iter 1600: loss 1.1960, time 14.99ms, mfu 23.49%
iter 1610: loss 1.2375, time 15.17ms, mfu 23.60%
iter 1620: loss 1.1826, time 15.06ms, mfu 23.72%
iter 1630: loss 1.2038, time 15.35ms, mfu 23.77%
iter 1640: loss 1.2102, time 15.24ms, mfu 23.84%
iter 1650: loss 1.1783, time 15.23ms, mfu 23.90%
iter 1660: loss 1.2219, time 15.00ms, mfu 24.00%
iter 1670: loss 1.1982, time 15.10ms, mfu 24.07%
iter 1680: loss 1.2076, time 15.13ms, mfu 24.12%
iter 1690: loss 1.2083, time 15.39ms, mfu 24.13%
iter 1700: loss 1.1900, time 15.21ms, mfu 24.17%
iter 1710: loss 1.1793, time 15.11ms, mfu 24.22%
iter 1720: loss 1.1819, time 15.22ms, mfu 24.24%
iter 1730: loss 1.2017, time 15.19ms, mfu 24.27%
iter 1740: loss 1.1737, time 15.22ms, mfu 24.29%
step 1750: train loss 1.1022, val loss 1.4627
saving checkpoint to out-shakespeare-char
iter 1750: loss 1.1886, time 3223.65ms, mfu 21.87%
iter 1760: loss 1.1886, time 15.55ms, mfu 22.08%
iter 1770: loss 1.2006, time 15.44ms, mfu 22.29%
iter 1780: loss 1.1916, time 15.31ms, mfu 22.49%
iter 1790: loss 1.1879, time 15.37ms, mfu 22.67%
iter 1800: loss 1.1874, time 15.40ms, mfu 22.82%
iter 1810: loss 1.1622, time 15.54ms, mfu 22.94%
iter 1820: loss 1.1666, time 15.41ms, mfu 23.06%
iter 1830: loss 1.1691, time 15.13ms, mfu 23.22%
iter 1840: loss 1.1635, time 15.27ms, mfu 23.34%
iter 1850: loss 1.1583, time 15.19ms, mfu 23.46%
iter 1860: loss 1.1767, time 15.53ms, mfu 23.51%
iter 1870: loss 1.1436, time 15.30ms, mfu 23.60%
iter 1880: loss 1.1821, time 15.19ms, mfu 23.69%
iter 1890: loss 1.1803, time 15.35ms, mfu 23.75%
iter 1900: loss 1.1353, time 15.18ms, mfu 23.83%
iter 1910: loss 1.1756, time 15.36ms, mfu 23.87%
iter 1920: loss 1.1753, time 15.22ms, mfu 23.93%
iter 1930: loss 1.1433, time 15.29ms, mfu 23.98%
iter 1940: loss 1.1303, time 15.12ms, mfu 24.04%
iter 1950: loss 1.1413, time 15.32ms, mfu 24.07%
iter 1960: loss 1.1558, time 15.28ms, mfu 24.10%
iter 1970: loss 1.1513, time 15.14ms, mfu 24.15%
iter 1980: loss 1.1545, time 15.51ms, mfu 24.14%
iter 1990: loss 1.1500, time 15.35ms, mfu 24.16%
step 2000: train loss 1.0584, val loss 1.4757
iter 2000: loss 1.1270, time 2774.26ms, mfu 21.75%
iter 2010: loss 1.1278, time 15.17ms, mfu 22.03%
iter 2020: loss 1.1233, time 15.28ms, mfu 22.27%
iter 2030: loss 1.1602, time 15.82ms, mfu 22.40%
iter 2040: loss 1.1431, time 15.50ms, mfu 22.56%
iter 2050: loss 1.1164, time 15.40ms, mfu 22.73%
iter 2060: loss 1.1041, time 15.34ms, mfu 22.88%
iter 2070: loss 1.1329, time 15.44ms, mfu 23.01%
iter 2080: loss 1.1266, time 15.47ms, mfu 23.12%
iter 2090: loss 1.1336, time 15.03ms, mfu 23.28%
iter 2100: loss 1.1306, time 15.51ms, mfu 23.36%
iter 2110: loss 1.1363, time 15.31ms, mfu 23.46%
iter 2120: loss 1.1350, time 15.46ms, mfu 23.52%
iter 2130: loss 1.1387, time 15.11ms, mfu 23.64%
iter 2140: loss 1.1427, time 15.32ms, mfu 23.70%
iter 2150: loss 1.1231, time 15.35ms, mfu 23.76%
iter 2160: loss 1.1400, time 15.60ms, mfu 23.77%
iter 2170: loss 1.1330, time 15.41ms, mfu 23.81%
iter 2180: loss 1.1149, time 15.14ms, mfu 23.89%
iter 2190: loss 1.1073, time 15.42ms, mfu 23.92%
iter 2200: loss 1.1294, time 15.27ms, mfu 23.97%
iter 2210: loss 1.1243, time 15.41ms, mfu 23.99%
iter 2220: loss 1.1295, time 15.25ms, mfu 24.04%
iter 2230: loss 1.1209, time 15.42ms, mfu 24.05%
iter 2240: loss 1.1328, time 15.13ms, mfu 24.11%
step 2250: train loss 1.0128, val loss 1.4754
iter 2250: loss 1.1120, time 2790.41ms, mfu 21.71%
iter 2260: loss 1.1086, time 15.36ms, mfu 21.96%
iter 2270: loss 1.1322, time 15.12ms, mfu 22.23%
iter 2280: loss 1.0989, time 15.33ms, mfu 22.44%
iter 2290: loss 1.1422, time 15.32ms, mfu 22.63%
iter 2300: loss 1.1258, time 15.67ms, mfu 22.74%
iter 2310: loss 1.0948, time 15.45ms, mfu 22.88%
iter 2320: loss 1.0992, time 15.31ms, mfu 23.03%
iter 2330: loss 1.1005, time 15.36ms, mfu 23.15%
iter 2340: loss 1.1191, time 15.39ms, mfu 23.26%
iter 2350: loss 1.1102, time 15.43ms, mfu 23.35%
iter 2360: loss 1.1090, time 15.58ms, mfu 23.40%
iter 2370: loss 1.0886, time 15.41ms, mfu 23.48%
iter 2380: loss 1.0815, time 15.41ms, mfu 23.55%
iter 2390: loss 1.0812, time 15.36ms, mfu 23.62%
iter 2400: loss 1.0873, time 15.28ms, mfu 23.70%
iter 2410: loss 1.0737, time 15.13ms, mfu 23.79%
iter 2420: loss 1.0838, time 15.35ms, mfu 23.84%
iter 2430: loss 1.0561, time 15.38ms, mfu 23.88%
iter 2440: loss 1.0624, time 15.21ms, mfu 23.94%
iter 2450: loss 1.0796, time 15.38ms, mfu 23.97%
iter 2460: loss 1.0866, time 15.36ms, mfu 24.00%
iter 2470: loss 1.0901, time 15.27ms, mfu 24.04%
iter 2480: loss 1.0835, time 15.27ms, mfu 24.07%
iter 2490: loss 1.0634, time 15.34ms, mfu 24.10%
step 2500: train loss 0.9638, val loss 1.4944
iter 2500: loss 1.0866, time 2787.24ms, mfu 21.70%
iter 2510: loss 1.0713, time 15.36ms, mfu 21.96%
iter 2520: loss 1.0542, time 15.56ms, mfu 22.16%
iter 2530: loss 1.0554, time 15.19ms, mfu 22.39%
iter 2540: loss 1.0608, time 15.18ms, mfu 22.61%
iter 2550: loss 1.0718, time 15.25ms, mfu 22.79%
iter 2560: loss 1.0654, time 15.46ms, mfu 22.92%
iter 2570: loss 1.0835, time 15.38ms, mfu 23.05%
iter 2580: loss 1.0774, time 15.40ms, mfu 23.17%
iter 2590: loss 1.0751, time 15.45ms, mfu 23.26%
iter 2600: loss 1.0672, time 15.30ms, mfu 23.37%
iter 2610: loss 1.0510, time 15.57ms, mfu 23.43%
iter 2620: loss 1.0540, time 15.44ms, mfu 23.50%
iter 2630: loss 1.0303, time 15.42ms, mfu 23.56%
iter 2640: loss 1.0493, time 15.42ms, mfu 23.62%
iter 2650: loss 1.0732, time 15.38ms, mfu 23.69%
iter 2660: loss 1.0387, time 15.31ms, mfu 23.75%
iter 2670: loss 1.0202, time 15.35ms, mfu 23.80%
iter 2680: loss 1.0497, time 15.31ms, mfu 23.86%
iter 2690: loss 1.0600, time 15.30ms, mfu 23.91%
iter 2700: loss 1.0259, time 15.26ms, mfu 23.96%
iter 2710: loss 1.0484, time 15.21ms, mfu 24.01%
iter 2720: loss 1.0453, time 15.34ms, mfu 24.04%
iter 2730: loss 1.0611, time 15.27ms, mfu 24.08%
iter 2740: loss 1.0280, time 15.44ms, mfu 24.08%
step 2750: train loss 0.9187, val loss 1.5082
iter 2750: loss 1.0385, time 2805.04ms, mfu 21.69%
iter 2760: loss 1.0404, time 15.38ms, mfu 21.94%
iter 2770: loss 1.0268, time 15.42ms, mfu 22.16%
iter 2780: loss 1.0290, time 15.44ms, mfu 22.36%
iter 2790: loss 1.0430, time 15.18ms, mfu 22.58%
iter 2800: loss 1.0224, time 15.42ms, mfu 22.74%
iter 2810: loss 1.0447, time 15.39ms, mfu 22.88%
iter 2820: loss 1.0264, time 15.30ms, mfu 23.03%
iter 2830: loss 1.0376, time 15.32ms, mfu 23.16%
iter 2840: loss 0.9989, time 15.38ms, mfu 23.27%
iter 2850: loss 1.0273, time 15.32ms, mfu 23.37%
iter 2860: loss 1.0281, time 15.33ms, mfu 23.47%
iter 2870: loss 1.0123, time 15.06ms, mfu 23.59%
iter 2880: loss 1.0382, time 15.10ms, mfu 23.70%
iter 2890: loss 1.0160, time 15.33ms, mfu 23.76%
iter 2900: loss 0.9958, time 15.34ms, mfu 23.81%
iter 2910: loss 1.0365, time 15.38ms, mfu 23.86%
iter 2920: loss 1.0136, time 15.26ms, mfu 23.91%
iter 2930: loss 1.0008, time 15.46ms, mfu 23.93%
iter 2940: loss 0.9884, time 15.28ms, mfu 23.98%
iter 2950: loss 1.0302, time 15.20ms, mfu 24.03%
iter 2960: loss 1.0023, time 15.48ms, mfu 24.04%
iter 2970: loss 0.9962, time 15.40ms, mfu 24.05%
iter 2980: loss 1.0050, time 15.56ms, mfu 24.04%
iter 2990: loss 0.9859, time 15.33ms, mfu 24.07%
step 3000: train loss 0.8727, val loss 1.5223
iter 3000: loss 0.9836, time 2802.72ms, mfu 21.67%
iter 3010: loss 0.9921, time 15.08ms, mfu 21.98%
iter 3020: loss 1.0038, time 15.65ms, mfu 22.16%
iter 3030: loss 1.0139, time 15.22ms, mfu 22.39%
iter 3040: loss 1.0366, time 15.43ms, mfu 22.57%
iter 3050: loss 0.9810, time 15.41ms, mfu 22.73%
iter 3060: loss 1.0031, time 15.13ms, mfu 22.92%
iter 3070: loss 1.0194, time 15.26ms, mfu 23.07%
iter 3080: loss 0.9975, time 15.34ms, mfu 23.19%
iter 3090: loss 0.9894, time 15.34ms, mfu 23.30%
iter 3100: loss 0.9978, time 15.11ms, mfu 23.44%
iter 3110: loss 0.9765, time 15.26ms, mfu 23.54%
iter 3120: loss 1.0015, time 14.82ms, mfu 23.70%
iter 3130: loss 0.9865, time 14.66ms, mfu 23.87%
