type,x,loss,elapsed_s,avg_mfu
train_step,0,4.288322925567627,1.8303072452545166,
val_step,0,4.281205654144287,1.8303072452545166,
iter,0,4.259040832519531,1.9076788425445557,
iter,10,4.2622833251953125,2.0400736331939697,7.3834377747657705
iter,20,4.261940002441406,2.1645259857177734,7.399227566613911
iter,30,4.270477294921875,2.287508964538574,7.446420328894564
iter,40,4.275646209716797,2.4096992015838623,7.47301540390221
iter,50,4.267505645751953,2.5302786827087402,7.5050423771605255
iter,60,4.251716613769531,2.6547539234161377,7.465372173688347
iter,70,4.259960174560547,2.7842416763305664,7.472241453692933
iter,80,4.267799377441406,2.9088313579559326,7.490932828774555
iter,90,4.264560699462891,3.03273606300354,7.512331438391488
iter,100,4.261478424072266,3.155733346939087,7.52246181216342
iter,110,4.261280059814453,3.279322862625122,7.520900838353234
iter,120,4.268390655517578,3.404242992401123,7.538574035123971
iter,130,4.2574462890625,3.5261447429656982,7.5558624112019075
iter,140,4.257785797119141,3.647761821746826,7.577883079156547
iter,150,4.263862609863281,3.7692761421203613,7.58934278494914
iter,160,4.259792327880859,3.891737222671509,7.597346330037687
iter,170,4.245983123779297,4.014164686203003,7.615234082105029
iter,180,4.238140106201172,4.137972593307495,7.629218570611335
iter,190,4.226596832275391,4.262335538864136,7.627660231161282
iter,200,4.230308532714844,4.387069463729858,7.621451752052957
iter,210,4.206455230712891,4.5129523277282715,7.582053369550035
iter,220,4.189861297607422,4.637576341629028,7.5888038719051645
iter,230,4.150806427001953,4.7626237869262695,7.572745050499495
iter,240,4.1335906982421875,4.888616323471069,7.571852339984322
train_step,250,4.056996822357178,6.682377815246582,
val_step,250,4.059746265411377,6.682377815246582,
iter,250,4.107540130615234,7.1755335330963135,6.81895254279104
iter,260,4.072853088378906,7.305697441101074,6.874954860989944
iter,270,4.033538818359375,7.43407678604126,6.925831058098293
iter,280,4.005352020263672,7.562352895736694,6.982579873357121
iter,290,3.935588836669922,7.689929962158203,7.015508411467877
iter,300,3.912097930908203,7.816999197006226,7.0379900795452714
iter,310,3.85791015625,7.943814754486084,7.094266050392499
iter,320,3.7945594787597656,8.070124626159668,7.127026060611735
iter,330,3.7589550018310547,8.19913387298584,7.116067637461228
iter,340,3.689922332763672,8.330325603485107,7.169401737089152
iter,350,3.6514968872070312,8.45504379272461,7.2095321768327265
iter,360,3.5974903106689453,8.5792977809906,7.242814430547087
iter,370,3.5389328002929688,8.707601547241211,7.2439500600162905
iter,380,3.5340652465820312,8.836044788360596,7.2442993476836595
iter,390,3.503080368041992,8.9655601978302,7.23288268615537
iter,400,3.4818992614746094,9.089944839477539,7.277693148796256
iter,410,3.4100303649902344,9.2113618850708,7.320051248133305
iter,420,3.4232254028320312,9.333253145217896,7.349602556491202
iter,430,3.345029830932617,9.455368041992188,7.3985992502859625
iter,440,3.3978710174560547,9.576523542404175,7.438876981201041
iter,450,3.316286087036133,9.6991868019104,7.463722719252322
iter,460,3.287445068359375,9.8207848072052,7.479174155802425
iter,470,3.298053741455078,9.94299602508545,7.506503056894465
iter,480,3.2330093383789062,10.065332889556885,7.515750342715442
iter,490,3.218263626098633,10.186426162719727,7.538469120823173
train_step,500,3.1127657890319824,11.948489427566528,
val_step,500,3.1385092735290527,11.948489427566528,
iter,500,3.2178268432617188,12.310988664627075,6.789246749790356
iter,510,3.180316925048828,12.438441276550293,6.82823506259787
iter,520,3.161508560180664,12.566091537475586,6.8754095826493264
iter,530,3.1022863388061523,12.694138288497925,6.929590298713014
iter,540,3.0842113494873047,12.822753429412842,6.983613782850984
iter,550,3.0926361083984375,12.951711893081665,7.018772489426738
iter,560,3.0560665130615234,13.07951283454895,7.0626943311556225
iter,570,3.015592575073242,13.20862865447998,7.084301469580353
iter,580,3.008150100708008,13.337448835372925,7.114675814553699
iter,590,2.981928825378418,13.464827060699463,7.146411290947091
iter,600,2.994516372680664,13.592503309249878,7.173745368086393
iter,610,2.9425082206726074,13.720131874084473,7.177290687366225
iter,620,2.930589199066162,13.851236343383789,7.2010580766757375
iter,630,2.9400224685668945,13.976937770843506,7.242300951009001
iter,640,2.8967995643615723,14.102255821228027,7.26949234058603
iter,650,2.928678035736084,14.226712703704834,7.291515932019739
iter,660,2.886019468307495,14.352209329605103,7.308134959528617
iter,670,2.852055549621582,14.47714376449585,7.33215434343749
iter,680,2.8828887939453125,14.602608680725098,7.345892862720898
iter,690,2.8138070106506348,14.730195999145508,7.353913371379588
iter,700,2.8318395614624023,14.856679916381836,7.355223098786815
iter,710,2.8395795822143555,14.987361431121826,7.35482175295929
iter,720,2.841646194458008,15.11971378326416,7.322878017987522
iter,730,2.853428840637207,15.249433755874634,7.329464563502228
iter,740,2.7386693954467773,15.376398086547852,7.338183464584961
train_step,750,2.717646598815918,17.213391065597534,
val_step,750,2.7249817848205566,17.213391065597534,
iter,750,2.7895865440368652,17.529221296310425,6.608935384033568
iter,760,2.744676351547241,17.65247631072998,6.715521994133118
iter,770,2.793835401535034,17.776043176651,6.817497161687715
iter,780,2.734752893447876,17.898690462112427,6.904617026381689
iter,790,2.763486623764038,18.02008032798767,6.992769455509551
iter,800,2.775164842605591,18.14292621612549,7.063422642383184
iter,810,2.7930283546447754,18.26469135284424,7.12862207002676
iter,820,2.7453417778015137,18.38595461845398,7.195352719231969
iter,830,2.716263771057129,18.508289575576782,7.243011273228837
iter,840,2.6861135959625244,18.629955291748047,7.284956113122046
iter,850,2.7450547218322754,18.75093364715576,7.326922007938111
iter,860,2.717299222946167,18.872650861740112,7.375912599187573
iter,870,2.7249085903167725,18.994581937789917,7.395421291994807
iter,880,2.6984386444091797,19.12100887298584,7.395214887142189
iter,890,2.6519274711608887,19.248067378997803,7.396458847187742
iter,900,2.716895341873169,19.375280380249023,7.3932779671864814
iter,910,2.7024643421173096,19.502626657485962,7.34778144440119
iter,920,2.680522918701172,19.629735469818115,7.371146272200102
iter,930,2.6921796798706055,19.7564799785614,7.3794039143483285
iter,940,2.6629397869110107,19.88348412513733,7.382046444505698
iter,950,2.631828784942627,20.010237455368042,7.397669828305688
iter,960,2.657212734222412,20.136840105056763,7.404186258269889
iter,970,2.677910327911377,20.26348114013672,7.404196178212902
iter,980,2.6566414833068848,20.390151500701904,7.4116598457503695
iter,990,2.652170419692993,20.516438245773315,7.4199982704573895
train_step,1000,2.595107316970825,22.36725115776062,
val_step,1000,2.5967769622802734,22.36725115776062,
iter,1000,2.6201863288879395,22.853333711624146,6.682189422065397
iter,1010,2.6108028888702393,22.98148822784424,6.772304738850455
iter,1020,2.6908273696899414,23.107701539993286,6.843803101992964
iter,1030,2.6430981159210205,23.235393524169922,6.893908089090188
iter,1040,2.6182196140289307,23.362431287765503,6.9403304354943085
iter,1050,2.6007299423217773,23.4886155128479,6.984780719172439
iter,1060,2.5807981491088867,23.61455011367798,7.023712800131104
iter,1070,2.610426902770996,23.740240335464478,7.064827417408025
iter,1080,2.611351251602173,23.866047382354736,7.128456910772138
iter,1090,2.6133511066436768,23.99152445793152,7.187533980037952
iter,1100,2.6002297401428223,24.116228580474854,7.23483125079767
iter,1110,2.6107492446899414,24.23918104171753,7.278150487807649
iter,1120,2.5889272689819336,24.367010354995728,7.2832226215205145
iter,1130,2.5769543647766113,24.492302894592285,7.31178032295607
iter,1140,2.572223663330078,24.617505311965942,7.3512461509449345
iter,1150,2.6341052055358887,24.74247431755066,7.378986434133916
iter,1160,2.5807507038116455,24.867659330368042,7.397030568600514
iter,1170,2.603445053100586,24.991640329360962,7.402358675654027
iter,1180,2.5721001625061035,25.115638494491577,7.41128232031723
iter,1190,2.5792722702026367,25.23956608772278,7.437950947337228
iter,1200,2.5937464237213135,25.363157987594604,7.447823934317199
iter,1210,2.5755646228790283,25.487958192825317,7.467174573570497
