type,x,loss,elapsed_s,avg_mfu
train_step,0,4.288322925567627,1.9435126781463623,
val_step,0,4.281205654144287,1.9435126781463623,
iter,0,4.259040832519531,2.0207345485687256,
iter,10,3.1542787551879883,2.1984548568725586,5.72330257661354
iter,20,2.727567672729492,2.3587899208068848,5.883694576060165
iter,30,2.580655097961426,2.516256332397461,6.079234882318342
iter,40,2.5512590408325195,2.6741750240325928,6.243722471684274
iter,50,2.5304455757141113,2.8294026851654053,6.402678499581664
iter,60,2.5283455848693848,2.9859232902526855,6.5334194773023855
iter,70,2.4963974952697754,3.1401612758636475,6.668925208001474
iter,80,2.472210168838501,3.294569969177246,6.798210259494408
iter,90,2.4499475955963135,3.457132577896118,6.66630490378214
iter,100,2.4118354320526123,3.6152889728546143,6.201239655531827
iter,110,2.490175247192383,3.7705976963043213,6.374077786830595
iter,120,2.4386353492736816,3.9264533519744873,6.52770564729972
iter,130,2.394655227661133,4.081994533538818,6.6617652883831715
iter,140,2.3921568393707275,4.237555980682373,6.778210980081319
iter,150,2.4084839820861816,4.3948588371276855,6.88090155527101
iter,160,2.3549437522888184,4.551465749740601,6.969938858280107
iter,170,2.3822906017303467,4.708238840103149,7.0501806423270335
iter,180,2.3180932998657227,4.863786220550537,7.13019059304818
iter,190,2.2576839923858643,5.018505334854126,7.211536190264048
iter,200,2.2350265979766846,5.174939155578613,6.696188252325881
iter,210,2.175774097442627,5.330545663833618,6.82641414275927
iter,220,2.146674156188965,5.487590551376343,6.925283536553649
iter,230,2.1132335662841797,5.64344334602356,7.016193403183468
iter,240,2.061846971511841,5.7991907596588135,7.105994244357587
train_step,250,1.960404634475708,7.5900304317474365,
val_step,250,2.0754566192626953,7.5900304317474365,
iter,250,2.0453314781188965,8.072236776351929,6.399697107751906
iter,260,2.0059399604797363,8.194034337997437,6.5539951659739915
iter,270,1.924717664718628,8.35148811340332,6.678593141247373
iter,280,1.8809250593185425,8.507848501205444,6.779512639500311
iter,290,1.9176714420318604,8.664552688598633,6.906414800349089
iter,300,1.9456942081451416,8.820873975753784,6.4201814750012725
iter,310,1.8400393724441528,8.978678703308105,6.574697981044925
iter,320,1.8493704795837402,9.134850025177002,6.714461693658305
