type,x,loss,elapsed_s,avg_mfu
train_step,0,4.288322925567627,2.422499179840088,
val_step,0,4.281205654144287,2.422499179840088,
iter,0,4.259040832519531,2.6083321571350098,
iter,10,3.357633590698242,2.743107795715332,7.61304178638875
iter,20,3.268892288208008,2.8674356937408447,7.634814695297634
iter,30,3.0402050018310547,2.991149425506592,7.672276471576514
iter,40,2.957876205444336,3.11415958404541,7.709454859876483
iter,50,2.823946952819824,3.2379753589630127,7.746642207252151
iter,60,2.752826690673828,3.3615832328796387,7.781031168294506
iter,70,2.6665613651275635,3.484541893005371,7.810526372299329
iter,80,2.6034278869628906,3.6078922748565674,7.832870830934079
iter,90,2.572359800338745,3.731142997741699,7.859643339835591
iter,100,2.512385368347168,3.8552448749542236,7.623979199653376
iter,110,2.5976943969726562,3.9787216186523438,7.666567359878465
iter,120,2.553626298904419,4.101394891738892,7.7047806282223315
iter,130,2.518193006515503,4.224585294723511,7.750129812811682
iter,140,2.5084657669067383,4.348865032196045,7.793644418422375
iter,150,2.5248863697052,4.472560882568359,7.830396911167051
iter,160,2.4827370643615723,4.5958802700042725,7.867792596337154
iter,170,2.513272523880005,4.718496799468994,7.892536678973632
iter,180,2.471360206604004,4.84150767326355,7.898019288846242
iter,190,2.4798622131347656,4.965372800827026,7.91252404310213
iter,200,2.489889144897461,5.089121103286743,7.6625007827453055
iter,210,2.4576802253723145,5.2124364376068115,7.708989432713792
iter,220,2.475987195968628,5.336397647857666,7.755984116677675
iter,230,2.4690372943878174,5.45956015586853,7.794038364477286
iter,240,2.4794816970825195,5.583377838134766,7.818279489058846
train_step,250,2.4061431884765625,7.283433198928833,
val_step,250,2.431004524230957,7.283433198928833,
iter,250,2.4278271198272705,7.754420518875122,7.04096050471313
iter,260,2.395805597305298,7.872085809707642,7.144763351338419
iter,270,2.442450523376465,7.989341497421265,7.231739558875298
iter,280,2.387953758239746,8.106103420257568,7.328278068063147
iter,290,2.3807034492492676,8.221542358398438,7.407952379418637
iter,300,2.4239542484283447,8.343530178070068,7.219347171865601
iter,310,2.352642059326172,8.466815948486328,7.298437801357522
iter,320,2.3354544639587402,8.59056043624878,7.388960493890851
iter,330,2.34150767326355,8.7142653465271,7.460124036496686
iter,340,2.315511465072632,8.838147640228271,7.531834088170843
iter,350,2.3535170555114746,8.961520195007324,7.590292024602677
iter,360,2.3045735359191895,9.086025476455688,7.627359284250863
iter,370,2.2770776748657227,9.209969758987427,7.680365440261097
iter,380,2.2515554428100586,9.332442998886108,7.728667495158644
iter,390,2.206812620162964,9.454352378845215,7.761434147574427
iter,400,2.184922218322754,9.578027725219727,7.704339930635918
iter,410,2.2891736030578613,9.70125436782837,7.750705301237409
iter,420,2.1977624893188477,9.824026823043823,7.783600493322212
iter,430,2.160304307937622,9.9477379322052,7.815888265734904
iter,440,2.1594038009643555,10.071467399597168,7.847207258994618
iter,450,2.114396572113037,10.194125175476074,7.871858140765441
iter,460,2.195744276046753,10.31684422492981,7.8839770821311355
iter,470,2.087334632873535,10.439955472946167,7.916963350042872
iter,480,2.075944662094116,10.562821388244629,7.942151762593162
iter,490,2.1016335487365723,10.6859712600708,7.9468327661057225
train_step,500,1.9713550806045532,12.390944719314575,
val_step,500,2.069103479385376,12.390944719314575,
iter,500,2.0546042919158936,12.764402389526367,7.156870559907285
iter,510,2.0517282485961914,12.882463693618774,7.255718190073929
iter,520,2.034987449645996,13.00042176246643,7.322417076102994
iter,530,1.9711158275604248,13.118731021881104,7.390298530294816
iter,540,1.919072151184082,13.236833095550537,7.445149132398378
iter,550,2.010934829711914,13.353923559188843,7.515457675120397
iter,560,1.9817781448364258,13.476896286010742,7.580062936565265
iter,570,1.9959619045257568,13.599828243255615,7.624348471829768
iter,580,1.9249123334884644,13.722832679748535,7.6595702954022
iter,590,1.8704074621200562,13.845930814743042,7.6853381419593845
iter,600,1.8938827514648438,13.96958065032959,7.472291530599468
iter,610,1.915308952331543,14.092259645462036,7.538884509140259
iter,620,1.8920286893844604,14.214973211288452,7.593647375753511
iter,630,1.8233388662338257,14.337553977966309,7.647190458011364
iter,640,1.7977060079574585,14.460626363754272,7.69387678580916
iter,650,1.7132987976074219,14.584463596343994,7.736518418288431
iter,660,1.8055312633514404,14.708229064941406,7.774676556935028
iter,670,1.7879582643508911,14.831239223480225,7.81089544948874
iter,680,1.7667819261550903,14.954190015792847,7.85801486993154
iter,690,1.7066714763641357,15.076780557632446,7.886815996516683
iter,700,1.757766842842102,15.200796842575073,7.622167260698426
iter,710,1.6769416332244873,15.324289321899414,7.6887040738531836
iter,720,1.759310245513916,15.448615074157715,7.7240079180224575
iter,730,1.7070540189743042,15.572172403335571,7.754971184947965
iter,740,1.6202104091644287,15.695976495742798,7.77354813128973
train_step,750,1.5836563110351562,17.409066677093506,
val_step,750,1.7702171802520752,17.409066677093506,
iter,750,1.727245569229126,17.86977529525757,7.000695219841507
iter,760,1.5879912376403809,17.987240314483643,7.105993405994695
iter,770,1.666473150253296,18.104315757751465,7.198758124122979
iter,780,1.659263253211975,18.220666646957397,7.2981994364204255
iter,790,1.6940765380859375,18.336991786956787,7.401764322577099
iter,800,1.6226922273635864,18.45668649673462,7.314252413759789
iter,810,1.6392076015472412,18.58034920692444,7.389158855325037
iter,820,1.5963666439056396,18.703561305999756,7.46728145334159
iter,830,1.588025450706482,18.825803995132446,7.543320988107727
iter,840,1.6057264804840088,18.94847273826599,7.607362179349798
iter,850,1.6429202556610107,19.071102619171143,7.6710950454240825
iter,860,1.5650488138198853,19.194491386413574,7.726839857288947
iter,870,1.5593174695968628,19.31789231300354,7.777374259784206
iter,880,1.5960787534713745,19.439509630203247,7.825360419686363
iter,890,1.5356630086898804,19.561325073242188,7.849255913914771
iter,900,1.6218502521514893,19.684555530548096,7.623050427200452
iter,910,1.5306700468063354,19.807421445846558,7.687622288809931
iter,920,1.52744460105896,19.929962873458862,7.732428009795322
iter,930,1.5334737300872803,20.052738904953003,7.771315789354191
iter,940,1.5646286010742188,20.175877571105957,7.813329566931131
iter,950,1.5287320613861084,20.298347234725952,7.8375137495668215
iter,960,1.55269455909729,20.421256065368652,7.865386860189645
iter,970,1.5713608264923096,20.543965101242065,7.884166084230514
iter,980,1.5007259845733643,20.666216373443604,7.91711618508396
