run,type,x,loss,elapsed_s,iter_time_ms,mfu_percent,mem_gb
no_eval,iter,0,4.267683982849121,0.20035672187805176,,,11.555708885192871
no_eval,iter,10,2.938246488571167,1.2254889011383057,,29.13066469861036,11.661175727844238
no_eval,iter,20,2.624541759490967,2.251528024673462,,29.12831827346772,11.661175727844238
no_eval,iter,30,2.5410656929016113,3.276684284210205,,29.12682324779059,11.661175727844238
no_eval,iter,40,2.506669282913208,4.30181360244751,,29.124860967729926,11.661175727844238
no_eval,iter,50,2.474947929382324,23.577263832092285,,26.22846742786185,11.661175727844238
no_eval,iter,60,2.4492688179016113,5.708460807800293,,26.517628761004026,11.661175727844238
no_eval,iter,70,2.4423141479492188,6.733704090118408,,26.776931552425665,11.661175727844238
no_eval,iter,80,2.427027940750122,7.7594075202941895,,27.013737637342295,11.661175727844238
no_eval,iter,90,2.4033732414245605,8.785226821899414,,27.216762013241773,11.661175727844238
no_eval,iter,100,2.3852481842041016,28.189982652664185,,24.511067123021306,11.661175727844238
no_eval,iter,110,2.3456358909606934,10.19024658203125,,24.966363706741564,11.661175727844238
no_eval,iter,120,2.300798177719116,11.21618914604187,,25.379885072048207,11.661175727844238
no_eval,iter,130,2.217133045196533,12.241841077804565,,25.756239557811245,11.661175727844238
no_eval,iter,140,2.1467156410217285,13.267683267593384,,26.08966290865445,11.661175727844238
no_eval,iter,150,2.0733039379119873,32.559895515441895,,23.496769923230904,11.661175727844238
no_eval,iter,160,2.0196144580841064,14.689530849456787,,24.056966207894824,11.661175727844238
no_eval,iter,170,1.9790928363800049,15.714918851852417,,24.56404424337811,11.661175727844238
no_eval,iter,180,1.9274364709854126,16.740758180618286,,25.019349512640954,11.661175727844238
no_eval,iter,190,1.884692668914795,17.7664577960968,,25.43171000417689,11.661175727844238
no_eval,iter,200,1.8445937633514404,37.80321383476257,,22.903995624702063,11.661175727844238
no_eval,iter,210,1.802229404449463,19.17727828025818,,23.52398411527839,11.661175727844238
no_eval,iter,220,1.7791903018951416,20.202949047088623,,24.086275180496195,11.661175727844238
no_eval,iter,230,1.7371306419372559,21.230342864990234,,24.586931879812816,11.661175727844238
no_eval,iter,240,1.7254905700683594,22.25786018371582,,25.026322176087472,11.661175727844238
no_eval,iter,250,1.6836001873016357,41.73907423019409,,22.53960671287044,11.661175727844238
no_eval,iter,260,1.6720125675201416,23.672834634780884,,23.18389075253727,11.661175727844238
no_eval,iter,270,1.6463923454284668,24.69789457321167,,23.780062062208728,11.661175727844238
no_eval,iter,280,1.6500961780548096,25.723750591278076,,24.315190197854246,11.661175727844238
no_eval,iter,290,1.6067497730255127,26.75110960006714,,24.79301632157729,11.661175727844238
no_eval,iter,300,1.5777266025543213,46.16417193412781,,22.329690751487565,11.661175727844238
no_eval,iter,310,1.5786038637161255,28.16508436203003,,23.01204998615504,11.661175727844238
no_eval,iter,320,1.5528823137283325,29.190289974212646,,23.62255468114019,11.661175727844238
no_eval,iter,330,1.5427371263504028,30.215861082077026,,24.171432659350472,11.661175727844238
no_eval,iter,340,1.533941626548767,31.242023468017578,,24.665727883412064,11.661175727844238
no_eval,iter,350,1.5142836570739746,52.23051595687866,,22.213871992675482,11.661175727844238
no_eval,iter,360,1.4928003549575806,32.73947787284851,,22.893574072145924,11.661175727844238
no_eval,iter,370,1.4706696271896362,33.766268730163574,,23.519599356450314,11.661175727844238
no_eval,iter,380,1.467799186706543,34.79312753677368,,24.065434085416328,11.661175727844238
no_eval,iter,390,1.4505172967910767,35.82181215286255,,24.56039062588868,11.661175727844238
