Overriding config with config/train_shakespeare_char.py:
Overriding: batch_size = 384
Overriding: learning_rate = 0.006
Overriding: csv_path = runs/scale_g1_s6.0_bs384_lr0.006.csv
Overriding: out_dir = out-scale_g1_s6.0_bs384_lr0.006
tokens per iteration will be: 98,304
effective global batch size (sequences) will be: 384
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
/u/ddong/workspace/nanoGPT/train.py:243: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
  scaler = torch.cuda.amp.GradScaler(enabled=(dtype == 'float16'))
num decayed parameter tensors: 26, with 10,740,096 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: True
step 0: train loss 4.2874, val loss 4.2822
iter 0: loss 4.2661, time 11367.94ms, mfu -100.00%
iter 10: loss 2.9033, time 52.40ms, mfu 42.66%
iter 20: loss 2.6168, time 46.12ms, mfu 43.25%
iter 30: loss 2.5300, time 36.86ms, mfu 44.99%
iter 40: loss 2.5208, time 47.48ms, mfu 45.20%
iter 50: loss 2.5003, time 45.55ms, mfu 45.59%
iter 60: loss 2.4865, time 46.93ms, mfu 45.79%
iter 70: loss 2.4672, time 46.29ms, mfu 46.04%
iter 80: loss 2.5153, time 46.56ms, mfu 46.24%
iter 90: loss 2.6318, time 46.26ms, mfu 46.45%
iter 100: loss 2.5947, time 120.41ms, mfu 43.66%
iter 110: loss 2.5163, time 46.27ms, mfu 44.13%
iter 120: loss 2.4856, time 46.79ms, mfu 44.49%
iter 130: loss 2.4537, time 46.16ms, mfu 44.89%
iter 140: loss 2.4488, time 46.76ms, mfu 45.18%
iter 150: loss 2.3863, time 95.70ms, mfu 43.00%
iter 160: loss 2.3429, time 46.95ms, mfu 43.46%
iter 170: loss 2.2532, time 46.73ms, mfu 43.90%
iter 180: loss 2.1988, time 46.38ms, mfu 44.33%
iter 190: loss 2.1600, time 46.79ms, mfu 44.67%
iter 200: loss 2.0973, time 125.42ms, mfu 41.99%
iter 210: loss 2.0510, time 45.94ms, mfu 42.66%
iter 220: loss 2.0747, time 46.94ms, mfu 43.15%
iter 230: loss 2.0033, time 45.97ms, mfu 43.70%
iter 240: loss 1.9752, time 46.86ms, mfu 44.10%
step 250: train loss 1.8624, val loss 1.9857
saving checkpoint to out-scale_g1_s6.0_bs384_lr0.006
iter 250: loss 1.9651, time 11919.33ms, mfu 39.71%
iter 260: loss 1.9022, time 46.23ms, mfu 40.58%
iter 270: loss 1.8847, time 47.46ms, mfu 41.23%
iter 280: loss 1.8414, time 46.23ms, mfu 41.94%
iter 290: loss 1.8669, time 47.18ms, mfu 42.49%
iter 300: loss 1.8586, time 125.70ms, mfu 40.02%
iter 310: loss 1.7728, time 46.77ms, mfu 40.80%
iter 320: loss 1.7474, time 36.40ms, mfu 42.86%
iter 330: loss 1.8063, time 46.04ms, mfu 43.43%
iter 340: loss 1.7456, time 47.09ms, mfu 43.83%
iter 350: loss 1.6961, time 46.35ms, mfu 44.27%
iter 360: loss 1.6551, time 46.24ms, mfu 44.68%
iter 370: loss 1.6516, time 46.65ms, mfu 45.01%
iter 380: loss 1.6422, time 45.61ms, mfu 45.41%
iter 390: loss 1.6420, time 46.27ms, mfu 45.70%
iter 400: loss 1.6079, time 126.13ms, mfu 42.90%
iter 410: loss 1.6039, time 46.75ms, mfu 43.39%
iter 420: loss 1.5930, time 46.96ms, mfu 43.81%
iter 430: loss 1.5777, time 45.96ms, mfu 44.30%
iter 440: loss 1.5689, time 46.51ms, mfu 44.67%
iter 450: loss 1.5596, time 47.37ms, mfu 44.93%
iter 460: loss 1.5499, time 46.51ms, mfu 45.24%
iter 470: loss 1.6057, time 45.73ms, mfu 45.61%
iter 480: loss 1.5572, time 46.74ms, mfu 45.83%
iter 490: loss 1.5397, time 47.17ms, mfu 45.99%
step 500: train loss 1.4392, val loss 1.6697
saving checkpoint to out-scale_g1_s6.0_bs384_lr0.006
iter 500: loss 1.5409, time 11964.55ms, mfu 41.41%
iter 510: loss 1.5012, time 43.45ms, mfu 42.41%
iter 520: loss 1.4705, time 46.60ms, mfu 42.97%
iter 530: loss 1.4900, time 46.82ms, mfu 43.45%
iter 540: loss 1.4709, time 48.10ms, mfu 43.75%
iter 550: loss 1.4501, time 32.04ms, mfu 46.35%
iter 560: loss 1.4517, time 47.55ms, mfu 46.42%
iter 570: loss 1.4197, time 46.42ms, mfu 46.59%
iter 580: loss 1.4040, time 45.44ms, mfu 46.85%
iter 590: loss 1.3986, time 45.76ms, mfu 47.05%
iter 600: loss 1.3870, time 120.98ms, mfu 44.20%
iter 610: loss 1.3733, time 46.01ms, mfu 44.64%
iter 620: loss 1.3635, time 46.61ms, mfu 44.97%
iter 630: loss 1.3486, time 46.26ms, mfu 45.31%
iter 640: loss 1.3388, time 47.13ms, mfu 45.52%
iter 650: loss 1.3481, time 45.87ms, mfu 45.84%
iter 660: loss 1.3340, time 47.08ms, mfu 46.01%
iter 670: loss 1.3173, time 47.25ms, mfu 46.14%
iter 680: loss 1.3055, time 45.72ms, mfu 46.41%
iter 690: loss 1.2903, time 46.64ms, mfu 46.56%
iter 700: loss 1.2943, time 127.22ms, mfu 43.67%
iter 710: loss 1.2673, time 46.22ms, mfu 44.14%
iter 720: loss 1.2759, time 46.17ms, mfu 44.56%
iter 730: loss 1.2666, time 41.74ms, mfu 45.47%
iter 740: loss 1.2547, time 46.95ms, mfu 45.68%
step 750: train loss 1.1564, val loss 1.4868
saving checkpoint to out-scale_g1_s6.0_bs384_lr0.006
iter 750: loss 1.2678, time 12708.54ms, mfu 41.13%
iter 760: loss 1.2474, time 46.19ms, mfu 41.86%
iter 770: loss 1.2674, time 47.30ms, mfu 42.40%
iter 780: loss 1.2359, time 46.58ms, mfu 42.96%
iter 790: loss 1.2185, time 46.13ms, mfu 43.51%
iter 800: loss 1.2216, time 115.56ms, mfu 41.09%
iter 810: loss 1.2200, time 46.29ms, mfu 41.81%
iter 820: loss 1.2039, time 47.14ms, mfu 42.37%
iter 830: loss 1.2052, time 46.60ms, mfu 42.93%
iter 840: loss 1.2125, time 45.84ms, mfu 43.52%
iter 850: loss 1.1947, time 47.59ms, mfu 43.86%
iter 860: loss 1.1737, time 46.14ms, mfu 44.32%
iter 870: loss 1.1755, time 46.34ms, mfu 44.72%
